touch_id,customer_id,channel,campaign,touch_date
1,4172,Email,"Summer Sale 2026","2026-03-12 14:23:11"
2,6389,"Social Media","New Year Launch","2026-01-05 09:12:45"
3,1024,"Google Ads","Black Friday Deal","2025-11-24 18:45:02"
4,8561,SMS,"Cart Abandonment","2026-04-19 11:33:50"
5,2940,Influencer,"Brand Awareness","2026-02-28 21:05:14"
6,7412,Email,"Newsletter Weekly","2026-05-14 08:15:00"
7,5309,"Organic Search","SEO Drive","2026-03-01 13:40:22"
8,9154,"Social Media","Summer Sale 2026","2026-04-02 16:55:18"
9,3281,"Google Ads","Retargeting Campaign","2026-01-22 10:04:31"
10,6802,SMS,"Flash Sale Promo","2026-05-29 19:22:10"
11,1493,Email,"Cart Abandonment","2026-02-11 12:11:44"
12,8047,Influencer,"Product Launch 2026","2026-03-25 15:48:59"
13,2735,"Social Media","Brand Awareness","2026-04-11 17:30:12"
14,4961,"Google Ads","Summer Sale 2026","2026-05-03 11:09:55"
15,7120,"Organic Search","SEO Drive","2025-12-18 14:50:33"
16,3854,Email,"Newsletter Weekly","2026-01-30 09:25:16"
17,6098,SMS,"Flash Sale Promo","2026-04-24 20:18:40"
18,8342,"Social Media","Retargeting Campaign","2026-03-08 16:12:05"
19,1205,"Google Ads","Black Friday Deal","2025-11-28 10:45:00"
20,5531,Influencer,"Summer Sale 2026","2026-05-19 13:22:11"
21,9410,Email,"New Year Launch","2026-01-02 08:14:25"
22,2647,"Organic Search","SEO Drive","2026-02-15 11:55:40"
23,7892,"Social Media","Brand Awareness","2026-04-05 15:04:19"
24,4130,SMS,"Cart Abandonment","2026-03-29 17:48:33"
25,6721,"Google Ads","Retargeting Campaign","2026-01-14 14:10:50"
26,8954,Email,"Summer Sale 2026","2026-05-22 10:30:15"
27,3102,Influencer,"Product Launch 2026","2026-04-14 16:22:44"
28,5491,"Social Media","Flash Sale Promo","2026-03-03 19:11:08"
29,1876,"Organic Search","SEO Drive","2025-12-05 12:40:59"
30,7324,Email,"Newsletter Weekly","2026-02-20 09:05:12"
31,9510,"Google Ads","Summer Sale 2026","2026-04-28 15:33:21"
32,3642,SMS,"Cart Abandonment","2026-01-18 11:14:02"
33,5821,"Social Media","Brand Awareness","2026-05-09 18:45:55"
34,2049,Influencer,"New Year Launch","2026-01-04 14:20:30"
35,8273,Email,"Retargeting Campaign","2026-03-17 10:12:44"
36,4910,"Google Ads","Black Friday Deal","2025-11-26 16:50:18"
37,7154,"Organic Search","SEO Drive","2026-02-08 13:04:11"
38,9382,SMS,"Flash Sale Promo","2026-04-12 21:40:00"
39,1540,"Social Media","Summer Sale 2026","2026-05-15 16:15:32"
40,6231,Email,"Newsletter Weekly","2026-03-22 08:45:10"
41,8492,"Google Ads","Retargeting Campaign","2026-01-29 11:22:45"
42,3721,Influencer,"Brand Awareness","2026-04-21 15:50:14"
43,5910,"Social Media","Product Launch 2026","2026-03-10 17:12:03"
44,2145,Email,"Cart Abandonment","2026-02-25 12:04:55"
45,8390,SMS,"Flash Sale Promo","2026-05-06 20:30:18"
46,4621,"Organic Search","SEO Drive","2025-12-22 14:15:00"
47,6843,"Google Ads","Summer Sale 2026","2026-04-17 10:44:31"
48,9052,"Social Media","New Year Launch","2026-01-06 13:22:09"
49,1384,Email,"Newsletter Weekly","2026-03-05 09:10:54"
50,5620,Influencer,"Brand Awareness","2026-05-25 16:40:12"
51,7814,SMS,"Cart Abandonment","2026-02-14 11:05:44"
52,3290,"Google Ads","Retargeting Campaign","2026-01-20 15:18:30"
53,6105,"Social Media","Summer Sale 2026","2026-04-30 18:25:11"
54,8431,"Organic Search","SEO Drive","2026-03-19 12:14:02"
55,2549,Email,"Black Friday Deal","2025-11-25 09:45:55"
56,4782,Influencer,"Product Launch 2026","2026-04-08 14:50:18"
57,7021,SMS,"Flash Sale Promo","2026-05-11 21:12:40"
58,9243,"Google Ads","Summer Sale 2026","2026-03-27 11:33:04"
59,1682,"Social Media","Newsletter Weekly","2026-02-04 16:04:15"
60,5904,Email,"Cart Abandonment","2026-01-27 10:15:22"
61,8140,"Organic Search","SEO Drive","2025-12-11 13:50:44"
62,4391,Influencer,"Brand Awareness","2026-05-02 17:22:10"
63,6524,"Google Ads","Retargeting Campaign","2026-03-14 14:11:59"
64,2810,SMS,"Flash Sale Promo","2026-04-18 19:45:12"
65,9043,"Social Media","Summer Sale 2026","2026-05-28 15:30:18"
66,5210,Email,"New Year Launch","2026-01-03 08:55:00"
67,7492,"Google Ads","Black Friday Deal","2025-11-27 11:12:44"
68,3815,"Organic Search","SEO Drive","2026-02-22 10:04:31"
69,6041,SMS,"Cart Abandonment","2026-03-07 16:40:11"
70,8312,Influencer,"Product Launch 2026","2026-04-26 14:15:55"
71,1549,"Social Media","Brand Awareness","2026-05-17 18:22:04"
72,5732,Email,"Newsletter Weekly","2026-01-15 09:30:18"
73,7921,"Google Ads","Summer Sale 2026","2026-04-09 13:11:45"
74,4210,SMS,"Flash Sale Promo","2026-05-20 20:05:12"
75,6493,"Organic Search","SEO Drive","2025-12-30 15:48:33"
76,8612,Influencer,"Summer Sale 2026","2026-03-04 16:10:50"
77,2094,"Social Media","Retargeting Campaign","2026-02-18 11:44:14"
78,4315,Email,"Cart Abandonment","2026-01-10 12:22:09"
79,6590,"Google Ads","Black Friday Deal","2025-11-29 17:05:44"
80,8814,SMS,"Flash Sale Promo","2026-04-03 21:18:30"
81,3142,"Organic Search","SEO Drive","2026-03-24 14:12:02"
82,5403,Influencer,"Brand Awareness","2026-05-12 15:55:55"
83,7621,"Social Media","New Year Launch","2026-01-07 10:30:11"
84,9840,Email,"Newsletter Weekly","2026-02-12 08:15:44"
85,2105,"Google Ads","Summer Sale 2026","2026-04-22 13:40:18"
86,4394,SMS,"Cart Abandonment","2026-03-15 11:11:09"
87,6612,"Organic Search","SEO Drive","2026-01-25 14:48:59"
88,8893,Influencer,"Product Launch 2026","2026-05-05 16:22:40"
89,3154,"Social Media","Retargeting Campaign","2026-04-13 17:04:12"
90,5390,Email,"Flash Sale Promo","2026-02-02 19:50:33"
91,7541,"Google Ads","Black Friday Deal","2025-11-23 15:12:15"
92,9782,SMS,"Cart Abandonment","2026-03-31 10:05:44"
93,2041,"Organic Search","SEO Drive","2025-12-08 11:33:21"
94,4290,Influencer,"Summer Sale 2026","2026-05-14 14:15:02"
95,6514,"Social Media","Brand Awareness","2026-01-19 18:25:55"
